Gene stable ID	Gene stable ID version	Transcript stable ID version
ENSVPAG00000002416	ENSVPAG00000002416.1	ENSVPAT00000002415.1
ENSVPAG00000000946	ENSVPAG00000000946.1	ENSVPAT00000000946.1
ENSVPAG00000003748	ENSVPAG00000003748.1	ENSVPAT00000003747.1
ENSVPAG00000000947	ENSVPAG00000000947.1	ENSVPAT00000000947.1
ENSVPAG00000000948	ENSVPAG00000000948.1	ENSVPAT00000000948.1
ENSVPAG00000000016	ENSVPAG00000000016.1	ENSVPAT00000000016.1
ENSVPAG00000002816	ENSVPAG00000002816.1	ENSVPAT00000002814.1
ENSVPAG00000000949	ENSVPAG00000000949.1	ENSVPAT00000000949.1
ENSVPAG00000002436	ENSVPAG00000002436.1	ENSVPAT00000002436.1
ENSVPAG00000000479	ENSVPAG00000000479.1	ENSVPAT00000000479.1
ENSVPAG00000000017	ENSVPAG00000000017.1	ENSVPAT00000000017.1
ENSVPAG00000008346	ENSVPAG00000008346.1	ENSVPAT00000008346.1
ENSVPAG00000000018	ENSVPAG00000000018.1	ENSVPAT00000000018.1
ENSVPAG00000006048	ENSVPAG00000006048.1	ENSVPAT00000006048.1
ENSVPAG00000012573	ENSVPAG00000012573.1	ENSVPAT00000012573.1
ENSVPAG00000000019	ENSVPAG00000000019.1	ENSVPAT00000000019.1
ENSVPAG00000000951	ENSVPAG00000000951.1	ENSVPAT00000000951.1
ENSVPAG00000002832	ENSVPAG00000002832.1	ENSVPAT00000002831.1
ENSVPAG00000000952	ENSVPAG00000000952.1	ENSVPAT00000000952.1
ENSVPAG00000000953	ENSVPAG00000000953.1	ENSVPAT00000000953.1
ENSVPAG00000003983	ENSVPAG00000003983.1	ENSVPAT00000003983.1
ENSVPAG00000002863	ENSVPAG00000002863.1	ENSVPAT00000002864.1
ENSVPAG00000005298	ENSVPAG00000005298.1	ENSVPAT00000005298.1
ENSVPAG00000000021	ENSVPAG00000000021.1	ENSVPAT00000000020.1
ENSVPAG00000002248	ENSVPAG00000002248.1	ENSVPAT00000002249.1
ENSVPAG00000001851	ENSVPAG00000001851.1	ENSVPAT00000001851.1
ENSVPAG00000000023	ENSVPAG00000000023.1	ENSVPAT00000000023.1
ENSVPAG00000004816	ENSVPAG00000004816.1	ENSVPAT00000004816.1
